"","se_1","se_2","se_3","se_4","se_5","se_6","se_7","se_8","se_9","se_10","se_11","se_12","se_13","se_14","se_15","se_16","se_17"
"N6-[2-(4-aminophenyl)ethyl]adenosine",8.65274498577033,12.177685133016,10.8919549816748,12.0482293489041,11.2481840692466,12.5124852060751,12.0435207327053,12.3928037318733,11.9518464871893,9.58745160519377,10.2674619200746,11.2650071031927,8.44348276808545,11.5130292957037,11.15784613503,11.7615032051139,11.0119532555571
"N6-acetyl-l-lysine",13.2445440235273,13.2207347443528,13.3341115798589,13.3170262287475,13.1826328839296,13.4867580825327,13.1232733281423,13.5316227142879,13.1426558089119,13.5712189627043,13.2352172410033,13.3060465932206,13.4808518651448,13.4189310935473,13.359913880429,13.3960842515733,13.3332547046642
"N6-etheno 2'-deoxyadenosine",11.3953321252982,11.2989776228739,11.0683122945738,11.3684311668246,10.9939286760432,11.3496483177934,11.3737805144582,11.0377121625578,11.3293065363006,11.3145511520085,11.4165501108992,11.4239703622111,11.2358037894845,11.2691839912554,11.3650675967465,11.3446829536435,11.2211833739073
"Naphth(1,2-b)oxirene",16.2447108617722,16.7731385476453,16.7838269693329,16.8461619340484,16.825505185101,16.732046202435,16.8292394207183,16.8373964920174,16.831251495925,16.8027769974604,17.0622671061564,16.8435691957534,16.8915362211543,16.7721260023795,16.8585386813464,16.6731345597112,16.8570593065491
"Naphthalen-1-yloxy-oxido-oxophosphanium",14.1549799526678,13.7330397566298,14.0678117865444,14.4290752789356,13.8876275376815,14.1513312959378,13.8204068163528,14.0986012575866,13.8124537642178,14.1821297365229,14.0867014338293,14.0033360446433,14.0051953111416,13.8641233075502,13.8737116842596,14.202173376333,13.786762011308
"Ne,ne dimethyllysine",16.2012870991851,16.0343464386323,15.9108484239635,15.9643073655905,15.8185512765078,16.2751540312786,16.2233645927734,15.9567733146358,16.1357825172006,16.0883125359176,16.0289810719431,15.9347404255861,15.8687332774781,16.1999809765338,16.1939497379477,16.2234323998979,16.0160948634032
"Neocuproine",11.7358022977401,11.3849503945346,11.4772906237416,11.1827630800202,11.7215921164658,11.3848510285822,11.302278295066,11.5088816296655,11.3019712072629,11.5372849494977,11.3086003151098,11.3536897809708,11.4710281759722,11.2544746668185,11.3834360666146,11.3186129981954,11.4153020501302
"Nervonic acid",14.5991590816554,15.0147521003934,15.0575825916889,14.6025506288472,15.131652309611,14.7536205474473,14.6002731671585,14.8353283419306,14.6070771322777,13.8415912651031,14.564228936792,14.4677202521657,14.7047489682186,14.4693171252287,14.5101737138487,14.1909876283362,14.9926914334738
"Nicoboxil",14.5939895306189,14.9473661822761,15.0179434076074,14.2396311301284,14.91990886251,14.9018678129268,15.0970900606451,15.1223696808633,15.1587764901169,14.7016353708451,14.3146335621768,14.405514303738,15.0600283395336,15.4528256855132,14.4492165775244,15.1027316642608,14.9271822233362
"Nicotinamide ribotide",11.1562404776447,11.6403455641031,12.213761522137,12.416486791075,12.0875924710641,11.0331478540063,9.80843710220417,12.2296521872622,12.1196356634244,10.944016624714,12.7302429075241,12.4430631573714,12.4232271156371,12.2302832858649,12.6637714560959,11.9294363629403,12.2684774310317
"Nitrefazole",15.7702466578432,16.1752496313615,16.1943321711598,16.1243124596364,16.1928343806938,16.5054828665304,16.2166923845669,16.3600345385121,15.7554753707515,16.635672502798,16.2711520495658,15.7309438263804,16.2990506073752,16.1974945195226,15.9449548606737,16.1830860216638,16.2353211674291
"Nitrobenzylmercaptopurine",11.6857361624657,14.2491501996821,13.8644446568128,13.8329986184172,13.9519755674752,13.990728363429,14.0799057314722,13.4933731021293,14.2106353027461,13.7069735463417,13.847629642272,13.5949293824768,13.7403215114933,14.1072463020436,13.8095887755731,14.0120413098599,13.7731829777926
"Nocodazole",9.04208926340447,9.21291477235529,8.80758564866333,8.79665391267828,8.9753890770449,9.0566931966236,8.97904440301561,8.68918570614429,9.29915304178696,9.05880619883654,9.46764873663217,9.73564703143158,8.84253692104185,9.05918304351842,8.74949875943283,9.04255930011198,8.92101680545117
"Nolomirole",12.6667177916764,12.9130930814443,13.6681104363193,13.3010779918346,13.7605140046291,13.6170008807696,13.2085726435462,13.9737513198336,13.328917352561,14.0776894007029,13.3572648309497,13.4522760318024,13.8667228327341,13.5105849731411,13.2604179731028,13.5866039063923,13.7493213714703
"Nonadecanoic acid",15.9453902263204,15.978192707557,16.5500874543149,15.9116559755124,16.3930560853552,15.8816656266131,15.7370440334858,16.1131744546967,15.3972051624428,14.7066196626336,15.5161011680744,15.1110320557379,15.9322804988181,15.5427844247378,15.690465866195,15.3644482583274,16.0985691755894
"Norepinephrine",15.5209025225682,16.0779554577306,15.8060689137573,15.7745164025139,15.6691271222482,16.3223292383217,16.1050004721767,16.0366393445992,15.8968483898229,16.4904031784744,15.9781735003888,14.864856251275,15.8440082727249,16.1044284079648,15.0906791182087,16.2876290681567,15.778486196779
"Norprochlorperazine",12.100325524182,11.4335033881247,11.9898770642555,11.6979503163304,11.3833887586211,12.0938758108991,11.4774062662308,11.2588073405242,12.7331744117017,12.6217500511187,12.3477980769419,13.2675886761579,12.6058911692615,11.9342414473784,12.6149946522872,11.1626579826244,12.5757118575094
"N~4~-cyclopropyl-6-(2,3-dichlorophenyl)pyrimidine-2,4-diamine",11.0283445461784,11.0264013042795,11.0372199991888,11.0219440447638,11.0205682344414,11.0228886912355,11.0283816122415,10.9345362732286,11.0247202314679,11.0149391859433,11.0298934403075,11.0311401195402,11.0188940792002,11.0227879034725,11.0370035842498,11.0180011426106,11.0236766047278
"O,o,s-trimethyl phosphorothioate",12.1865945474983,14.4046297712163,14.487702167753,14.2182520925143,14.5849717504696,14.2560741466893,14.5047305818508,14.4209916145581,13.9654005848388,14.310580381452,14.0205493714826,14.0970217258199,14.4274746649436,14.559358471856,14.1007763667094,14.5390770664114,14.6386777080437
"O-(2,3,4,5,6-pentafluorobenzyl)hydroxylamine",9.18516059559921,11.923132838689,12.1679041974153,13.3031712069026,13.2123017440166,13.246226320551,12.1623389017449,13.2822125172428,12.8718023628856,12.0845668062477,12.2227177395724,13.0878823997954,12.0583996784554,11.5352446669444,12.7846412642844,12.1674528321943,12.7763644602086
